id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
51909986,Lovely 1 Bedroom Creekside Condo Near Downtown,142420980,Amanda,,Ward 1,44.94655,-123.03186,Entire home/apt,105,30,5,2021-12-25,1.38,7,170,5,
52089785,"The Villa- 3 bedroom 1 bath, Hilltop Poolhouse",241101659,Fernando,,Ward 8,44.93531,-123.07829,Entire home/apt,142,1,24,2022-03-15,5.22,1,122,24,
52092873,Modern Private Townhome Near the Heart of Salem!,353152177,Plushy,,Ward 4,44.86815,-123.01828,Entire home/apt,171,2,4,2021-12-04,0.73,1,234,4,
52149787,Month to Month Downtown Salem OR. Loft Apartment,407581863,Carole,,Ward 1,44.941902,-123.04007,Entire home/apt,105,30,0,,,15,155,0,
52354445,Upstairs 2 Bed 1 Bath Condo with Creek View!,142420980,Amanda,,Ward 1,44.94558,-123.03121,Entire home/apt,120,1,5,2022-02-05,1.09,7,289,5,
52593926,"Eclectic, Cozy Suite in Oregon Wine Country",425730950,Heather,,Ward 7,44.9012,-123.11014,Private room,125,1,0,,,1,365,0,
52685109,Lively & Relaxing Private South Salem Two-Bedroom!,421020148,Anton,,Ward 7,44.902809,-123.100197,Entire home/apt,105,2,6,2022-02-28,1.75,1,306,6,
52685196,Cozy Boho Cottage close to downtown and hospital,17219224,Caleb And Keely,,Ward 2,44.93501,-123.01011,Entire home/apt,105,28,3,2022-02-05,0.70,2,276,3,
53256374,Apartment in Historic District Near Hospital-Mid,51012505,Amanda,,Ward 1,44.93719,-123.02298,Entire home/apt,140,30,2,2022-01-01,0.47,4,79,2,
53387368,Simple n' Cozy 2 Bedroom Condominium,95636395,Janel,,Ward 8,44.96508,-123.05636,Entire home/apt,70,30,1,2022-02-28,1,1,214,1,
53401652,Private bedroom with bathroom and free parking,263557347,Andy,,Ward 6,44.93796,-122.97508,Private room,44,1,2,2021-12-17,0.56,1,340,2,
53481782,"1922 Vintage Charm at 1085 16th St. NE, Salem, OR",407581863,Carole,,Ward 1,44.946331,-123.016449,Entire home/apt,220,3,2,2022-03-09,0.68,15,1,2,
53546584,The Iris Room,386940608,Cynthia,,Ward 2,44.92534,-123.03134,Private room,47,1,20,2022-03-12,5.77,1,244,20,
54056293,Bright & Conveniently Located 3 Bedroom Home,438086831,Oleg,,Ward 7,44.88957,-123.04997,Entire home/apt,165,3,0,,,4,0,0,
54092629,Emerald Room: Luxurious space in historic house,92687697,Tauren,,Ward 2,44.93486,-123.01946,Private room,36,30,1,2022-02-14,0.79,5,4,1,
54093080,Amethyst Room: Luxurious space in historic house,92687697,Tauren,,Ward 1,44.93535,-123.01929,Private room,37,30,1,2022-03-11,1,5,94,1,
54093259,Gold Room: Luxurious space in historic house,92687697,Tauren,,Ward 1,44.93625,-123.01958,Private room,36,30,0,,,5,93,0,
54093296,Sapphire Room: Luxurious space in historic house,92687697,Tauren,,Ward 1,44.93699,-123.02098,Private room,37,30,1,2022-02-26,1,5,86,1,
54093317,Opal Suite: Luxurious space in historic house,92687697,Tauren,,Ward 1,44.93687,-123.02057,Private room,45,30,0,,,5,129,0,
54150231,Delightful bedroom in Salem with hot tub access,151892327,Rebecca,,Ward 1,44.95274,-123.00608,Private room,60,4,0,,,1,1,0,
54181067,Cheerful bedroom in conveniently located home,438086831,Oleg,,Ward 7,44.8882,-123.04977,Private room,45,2,2,2022-02-12,1.02,4,0,2,
54187426,Shannon T’s Airbnb,64250240,Shannon,,Ward 1,44.95144,-123.02616,Private room,88,1,1,2022-01-20,0.48,2,88,1,
54187528,Shannon T’s Airbnb,64250240,Shannon,,Ward 1,44.95117,-123.02681,Private room,88,1,1,2022-03-03,1,2,88,1,
54248038,Newly Remodeled 2 BR Guest Suite w/ beautiful view,89910661,Brian,,Ward 2,44.917164,-123.039185,Entire home/apt,100,2,0,,,1,321,0,
54298128,Spacious and bright private master bedroom.,438086831,Oleg,,Ward 7,44.88969,-123.04987,Private room,48,2,3,2022-02-09,1.34,4,0,3,
54298325,Warm and welcoming private bedroom.,438086831,Oleg,,Ward 7,44.89027,-123.04978,Private room,43,2,1,2022-02-11,0.73,4,0,1,
54375906,Entire 4Bedroom Home in Downtown Salem,378870814,Steeves,,Ward 2,44.93527,-123.02065,Entire home/apt,199,28,0,,,3,337,0,
545109071654438830,Clean & Simple 1 Bedroom with Office & More!,229346491,Jonnie,,Ward 8,44.94556,-123.09314,Private room,104,1,0,,,1,89,0,
554979564451017024,UPSTAIRS 1 Bedroom Unit with Creek View,142420980,Amanda,,Ward 1,44.94746,-123.03293,Entire home/apt,75,30,0,,,7,254,0,
565639133635114859,"Modern Farmhouse vibe, option 4 or 5 bedrooms!",45044784,Debbie,,Ward 7,44.91348,-123.06555,Entire home/apt,575,2,0,,,3,312,0,
570356863947805933,QUIMBY COTTAGE,142891274,Marie,,Ward 5,44.95643,-123.00137,Entire home/apt,75,30,1,2022-03-06,1,1,274,1,
571217279528206547,Craftsman Cottage at 1730 18th St. NE Salem Oregon,407581863,Carole,,Ward 1,44.951057,-123.010674,Entire home/apt,177,2,0,,,15,333,0,
572042860728365603,The Rustic Studio: 1 bedroom with living room!,25417117,Tiffany,,Ward 8,44.94669,-123.07556,Entire home/apt,100,1,2,2022-03-20,2,1,167,2,
573159601656563571,Lovely 1-bedroom basement unit with 2 fireplaces.,51012505,Amanda,,Ward 8,44.95107,-123.08294,Entire home/apt,90,30,0,,,4,96,0,
573939723498729158,Private Cottage in the heart of Salem- COMING SOON,141403844,Rachel,,Ward 1,44.94182,-123.01536,Entire home/apt,56,28,0,,,1,4,0,
576183999330485141,"Cozy and private house, huge back and front yards.",448113867,William,,Ward 6,44.95673,-122.96602,Private room,32,1,0,,,1,365,0,
578121072035360620,NEW! Inviting Oregon Escape w/ Mtn Views & Patio!,121688409,Evolve,,Ward 8,44.9641,-123.07219,Entire home/apt,165,3,0,,,3,332,0,
583694758993198434,Black & White Hills ⛰ (LV) ⛰ 6 Bedroom ~ 3 Story,165330582,Roddy,,Ward 8,44.95089,-123.07913,Entire home/apt,273,1,0,,,2,320,0,
586351092417840398,Garden bungalow on High St. through SalemStays.com,407581863,Carole,,Ward 2,44.913921,-123.04184,Entire home/apt,175,2,0,,,15,274,0,
